outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_relative_humidity_predicted_1,diffuse_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_relative_humidity_predicted_2,diffuse_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_3
19.0,46,0,0,22.866666666666664,30.333333333333332,404.3333333333333,283.5,21.866666666666664,28.416666666666668,629.3333333333334,453.8333333333333,18.47,37.45,389.8,275.65
17.0,55,0,0,21.366666666666664,35.833333333333336,253.5,167.0,22.116666666666664,29.083333333333332,578.3333333333334,433.5,18.4,38.285714285714285,371.23809523809524,262.5238095238095
16.4,50,0,0,19.933333333333334,40.166666666666664,114.83333333333333,77.66666666666667,22.05,31.0,511.75,395.0,18.30909090909091,38.81818181818182,354.3636363636364,250.5909090909091
16.0,45,0,0,18.599999999999998,43.166666666666664,0.0,23.0,21.633333333333336,32.666666666666664,437.5,341.0833333333333,18.208695652173912,39.08695652173913,338.95652173913044,239.69565217391303
15.0,51,0,0,17.266666666666666,46.833333333333336,0.0,2.5,21.05,35.25,359.5833333333333,276.8333333333333,18.075,39.583333333333336,324.8333333333333,229.70833333333334
15.0,51,0,0,16.400000000000002,49.666666666666664,0.0,0.0,20.21666666666667,37.833333333333336,280.5,208.25,18.095833333333335,39.0,324.8333333333333,229.70833333333334
15.0,51,0,0,15.733333333333334,50.5,0.0,0.0,19.3,40.416666666666664,202.16666666666666,141.75,18.1375,38.5,324.8333333333333,229.70833333333334
14.0,55,0,0,15.233333333333334,50.5,0.0,0.0,18.3,43.166666666666664,126.75,83.5,18.1375,38.708333333333336,324.8333333333333,229.70833333333334
12.6,64,0,0,14.6,52.833333333333336,0.0,0.0,17.26666666666667,46.5,57.416666666666664,38.833333333333336,18.058333333333334,39.416666666666664,324.8333333333333,229.70833333333334
11.0,57,0,0,13.766666666666666,54.833333333333336,0.0,0.0,16.183333333333334,49.0,0.0,11.5,17.974999999999998,39.916666666666664,324.8333333333333,229.70833333333334
11.0,55,0,0,13.1,55.5,0.0,0.0,15.183333333333335,51.166666666666664,0.0,1.25,17.933333333333334,40.25,324.8333333333333,229.70833333333334
11.2,66,0,0,12.466666666666667,58.0,0.0,0.0,14.433333333333332,53.833333333333336,0.0,0.0,17.900000000000002,41.166666666666664,324.8333333333333,229.70833333333334
12.0,56,240,66,11.966666666666667,58.833333333333336,40.0,11.0,13.85,54.666666666666664,20.0,5.5,17.858333333333334,41.541666666666664,324.6666666666667,229.66666666666666
13.0,44,602,239,11.799999999999999,57.0,140.33333333333334,50.833333333333336,13.516666666666666,53.75,70.16666666666667,25.416666666666668,17.816666666666666,41.416666666666664,324.25,229.45833333333334
17.0,36,783,455,12.533333333333331,52.333333333333336,270.8333333333333,126.66666666666667,13.566666666666668,52.583333333333336,135.41666666666666,63.333333333333336,17.808333333333334,41.791666666666664,323.5833333333333,229.16666666666666
20.0,32,868,637,14.033333333333331,48.166666666666664,415.5,232.83333333333334,13.9,51.5,207.75,116.41666666666667,17.766666666666666,42.083333333333336,322.625,228.75
21.0,30,909,760,15.699999999999998,44.0,567.0,359.5,14.4,49.75,283.5,179.75,17.724999999999998,42.5,321.5416666666667,228.29166666666666
25.0,26,925,812,18.0,37.333333333333336,721.1666666666666,494.8333333333333,15.233333333333334,47.666666666666664,360.5833333333333,247.41666666666666,17.724999999999998,42.75,320.5416666666667,227.83333333333334
25.0,25,916,788,20.166666666666668,32.166666666666664,833.8333333333334,615.1666666666666,16.066666666666666,45.5,436.9166666666667,313.0833333333333,17.683333333333334,42.958333333333336,319.5416666666667,227.41666666666666
25.0,27,885,692,22.166666666666668,29.333333333333332,881.0,690.6666666666666,16.983333333333334,43.166666666666664,510.6666666666667,370.75,17.641666666666666,43.166666666666664,318.7083333333333,227.125
24.0,24,810,529,23.333333333333332,27.333333333333332,885.5,703.0,17.933333333333334,39.833333333333336,578.1666666666666,414.8333333333333,17.599999999999998,43.166666666666664,317.7916666666667,226.83333333333334
23.0,27,665,322,23.833333333333332,26.5,851.6666666666666,650.5,18.933333333333334,37.333333333333336,633.5833333333334,441.6666666666667,17.558333333333334,43.166666666666664,316.7916666666667,226.58333333333334
20.0,40,0,122,23.666666666666668,28.166666666666668,700.1666666666666,544.1666666666666,19.683333333333334,36.083333333333336,633.5833333333334,451.8333333333333,17.433333333333334,43.625,316.7916666666667,226.54166666666666
18.0,64,0,15,22.5,34.5,546.0,411.3333333333333,20.25,35.916666666666664,633.5833333333334,453.0833333333333,17.34166666666667,44.875,316.7916666666667,226.54166666666666
18.0,59,0,0,21.333333333333332,40.166666666666664,393.3333333333333,280.0,20.75,36.166666666666664,613.5833333333334,447.5833333333333,17.3,45.416666666666664,316.7916666666667,226.54166666666666
16.0,68,0,0,19.833333333333332,47.0,245.83333333333334,164.66666666666666,21.0,38.166666666666664,563.4166666666666,427.6666666666667,17.258333333333336,45.958333333333336,316.7916666666667,226.54166666666666
15.6,79,0,0,18.433333333333334,56.166666666666664,110.83333333333333,76.5,20.883333333333333,41.75,498.1666666666667,389.75,17.224999999999998,47.166666666666664,316.7916666666667,226.54166666666666
15.0,79,0,0,17.099999999999998,64.83333333333333,0.0,22.833333333333332,20.466666666666665,45.666666666666664,425.8333333333333,336.6666666666667,17.183333333333334,48.583333333333336,316.7916666666667,226.54166666666666
14.0,67,0,0,16.099999999999998,69.33333333333333,0.0,2.5,19.883333333333333,48.75,350.0833333333333,273.3333333333333,17.141666666666666,49.25,316.7916666666667,226.54166666666666
13.9,63,0,0,15.416666666666666,69.16666666666667,0.0,0.0,18.958333333333332,51.833333333333336,273.0,205.66666666666666,17.09583333333333,49.75,316.7916666666667,226.54166666666666
15.0,86,0,0,14.916666666666666,73.66666666666667,0.0,0.0,18.125,56.916666666666664,196.66666666666666,140.0,17.09583333333333,51.208333333333336,316.7916666666667,226.54166666666666
13.0,72,0,0,14.416666666666666,74.33333333333333,0.0,0.0,17.125,60.666666666666664,122.91666666666667,82.33333333333333,17.054166666666664,51.916666666666664,316.7916666666667,226.54166666666666
12.2,81,0,0,13.85,74.66666666666667,0.0,0.0,16.141666666666666,65.41666666666667,55.416666666666664,38.25,17.0375,52.625,316.7916666666667,226.54166666666666
11.0,87,0,0,13.183333333333332,76.0,0.0,0.0,15.141666666666666,70.41666666666667,0.0,11.416666666666666,17.0375,53.875,316.7916666666667,226.54166666666666
10.0,72,0,0,12.516666666666666,76.83333333333333,0.0,0.0,14.308333333333332,73.08333333333333,0.0,1.25,16.995833333333334,54.583333333333336,316.7916666666667,226.54166666666666
